abc1,abc2,abc3,abc4,Date,SI,OI
0.014720907,0.014499401,0.013949756,0.013697587,25/11/2008,-0.007295838,-0.001873
-0.002053693,-0.001017528,-0.000448262,-0.00014157,2/12/2008,-0.000529491,0.026744
-0.002194389,-0.00161015,-0.00141576,-0.001034052,9/12/2008,0.007292375,0.020555
-0.069287717,-0.052733011,-0.04076801,-0.034523177,16/12/2008,0.045696208,-0.00112
0.011107211,0.014825169,0.014750521,0.014352457,23/12/2008,0.008959437,-0.031371
0.042428804,0.03890238,0.040525744,0.041142075,30/12/2008,-0.008701706,0.033676
-0.004298362,0.001910254,0.002292576,0.002927695,6/01/2009,0.00787692,0.045974
0.059359656,0.044977466,0.038673043,0.036888925,13/01/2009,-0.020339491,0.031638
0.07152646,0.052648878,0.04151241,0.03457743,20/01/2009,-0.005846153,0.0035
-0.054600841,-0.01186545,-0.010026062,-0.009496576,27/01/2009,0.004556739,-0.004328
-0.000172115,-0.00056647,-0.001567413,-0.003725217,3/02/2009,-0.018112699,0.008243
-0.000450383,-0.000648551,-0.001650704,-0.002159374,10/02/2009,-0.009946199,-0.016652
0.006850418,-0.000451392,-0.005764483,-0.007420233,17/02/2009,0.023195399,-0.007335
0.001692436,0.011533171,0.01359497,0.014411274,24/02/2009,-0.0122101,-0.051084
-0.107740368,-0.081340953,-0.056431402,-0.048431352,3/03/2009,-0.0248271,0.012553
-0.102621412,-0.071577445,-0.056158643,-0.053120764,10/03/2009,-0.004523623,0.018529
0.016345673,0.011257612,0.009556248,0.009074568,17/03/2009,0.016253013,-0.01314
0.034146087,0.022212395,0.025917834,0.027970838,24/03/2009,0.003918187,-0.036873
0.023020878,0.018506113,0.012557882,0.009620595,31/03/2009,-0.009502485,-0.011553
-0.004944998,-0.011802454,-0.014278254,-0.015577451,7/04/2009,0.005049725,0.013625
-0.009820957,-0.000610352,0.004992742,0.00668164,14/04/2009,-0.006587814,0.030307
0.004373979,0.015153972,0.013786394,0.012342021,21/04/2009,-0.01696941,-0.052389
-0.032311141,-0.063497857,-0.074808862,-0.073295832,28/04/2009,0.013079152,-0.000894
-0.010537508,-0.004536764,-0.000867071,-8.34E-06,5/05/2009,-0.009690561,0.058618
0.062296866,0.059207057,0.06025043,0.0634795,12/05/2009,0.011879312,0.048852
-0.007315297,-0.011843726,-0.009152697,-0.007103358,19/05/2009,0.029750947,-0.15283
-0.000521193,0.001131693,0.001065449,0.001009688,26/05/2009,0.004402144,0.001889
-0.007981673,-0.012173397,-0.013260772,-0.011924398,2/06/2009,-0.003307597,0.095773
0.121575178,0.114063518,0.106440956,0.103505555,9/06/2009,0.006475962,0.012041
-0.003472355,-0.003686601,-0.00419315,-0.00488416,16/06/2009,-0.017722121,-0.005497
-0.042345653,-0.045437287,-0.045369884,-0.043768065,23/06/2009,0.013390984,-0.087585
0.006734637,0.002908117,0.003901222,0.005043832,30/06/2009,-0.000292816,0.049271
0.000489363,0.003630747,0.002865303,0.00160561,7/07/2009,-0.021947366,0.002729
0.142429577,0.124954623,0.114000224,0.108659622,14/07/2009,0.000213236,0.041132
